ind_name	rel	class	class_name	domain_id	abbv	domain_centre
MBDL - painted domain, BrainName pub		FBbt:00003683	median bundle	308	MBDL	450.37,198.084,56.2772
mlALT - painted domain, BrainName pub		FBbt:00003984	mediolateral antennal lobe tract	305	mlALT	305.24,158.089,68.2272
pCCF - painted domain, BrainName pub		FBbt:00100344	posterior cerebro-cervical fascicle	319	pCCF	416.484,370.744,90.9613
PLF - painted domain, BrainName pub		FBbt:00007083	posterior lateral fascicle	323	PLF	283.447,161.844,75.1895
POC - painted domain, BrainName pub		FBbt:00007427	posterior optic tract	303	POC	315.342,282.915,84.5578
pPLPC - painted domain, BrainName pub		FBbt:00100355	posterior posteriolateral protocerebral commissure	338	pPLPC	420.684,237.604,92.449
PYF - painted domain, BrainName pub		FBbt:00100338	pyriform fascicle	324	PYF	287.82,91.929,69.2617
sAMMCC - painted domain, BrainName pub		FBbt:00100357	superior AMMC commissure	337	sAMMCC	319.645,261.336,54.066
sALC - painted domain, BrainName pub		FBbt:00100351	superior antennal lobe commissure	345	sALC	452.823,186.311,41.9486
SEC_sAVLPC - painted domain, BrainName pub		FBbt:00100354	superior ellipsoid commissure	317	SEC_sAVLPC	399.449,121.944,61.6778
SFS - painted domain, BrainName pub		FBbt:00100349	superior fiber system	311	SFS	364.123,98.233,77.0855
sPLPC - painted domain, BrainName pub		FBbt:00007077	superior posterior lateral protocerebrum commissure	330	sPLPC	394.655,133.03,90.9395
vVLPF - painted domain, BrainName pub		FBbt:00100341	vertical ventrolateral protocerebral fascicle	316	vVLPF	268.394,182.484,46.2075
IVLPC - painted domain, BrainName pub		FBbt:00100356	wedge commissure	313	IVLPC	427.088,277.514,90.1682
