ind_name	rel	class	image file	trace file		ind_source
120817-JK56fill		FBbt_00110599	JFRC2_IS2_120817-JK56fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120817-JK56fill.swc		Kohl2013
120818-JK56fill		FBbt_00110599	JFRC2_IS2_120818-JK56fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120818-JK56fill.swc		Kohl2013
120925-JK1029fill		FBbt_00110599	JFRC2_IS2_120925-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120925-JK1029fill.swc		Kohl2013
121127-2JK1029fill		FBbt_00110599	JFRC2_IS2_121127-2JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121127-2JK1029fill.swc		Kohl2013
121130-1JK1029fill		FBbt_00110599	JFRC2_IS2_121130-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121130-1JK1029fill.swc		Kohl2013
121130-2JK1029fill		FBbt_00110599	JFRC2_IS2_121130-2JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121130-2JK1029fill.swc		Kohl2013
120521-JK1029fill		FBbt_00110461	JFRC2_IS2_120521-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120521-JK1029fill.swc		Kohl2013
120522-2JK1029fill		FBbt_00110461	JFRC2_IS2_120522-2JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120522-2JK1029fill.swc		Kohl2013
120522-4JK1029fill		FBbt_00110461	JFRC2_IS2_120522-4JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120522-4JK1029fill.swc		Kohl2013
120614-3JK1029fill		FBbt_00110461	JFRC2_IS2_120614-3JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120614-3JK1029fill.swc		Kohl2013
120725-JK1029fill		FBbt_00110461	JFRC2_IS2_120725-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120725-JK1029fill.swc		Kohl2013
120726-JK1029fill		FBbt_00110461	JFRC2_IS2_120726-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120726-JK1029fill.swc		Kohl2013
120730-JK1029fill		FBbt_00110461	JFRC2_IS2_120730-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120730-JK1029fill.swc		Kohl2013
120731-1JK1029fill		FBbt_00110461	JFRC2_IS2_120731-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120731-1JK1029fill.swc		Kohl2013
120731-2JK1029fill		FBbt_00110461	JFRC2_IS2_120731-2JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120731-2JK1029fill.swc		Kohl2013
121120-JK1029fill		FBbt_00110461	JFRC2_IS2_121120-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121120-JK1029fill.swc		Kohl2013
121122-2JK1029fill		FBbt_00110461	JFRC2_IS2_121122-2JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121122-2JK1029fill.swc		Kohl2013
121128-1JK1029fill		FBbt_00110461	JFRC2_IS2_121128-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121128-1JK1029fill.swc		Kohl2013
121129-JK1029fill		FBbt_00110461	JFRC2_IS2_121129-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121129-JK1029fill.swc		Kohl2013
121208-1JK1029fill		FBbt_00110461	JFRC2_IS2_121208-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121208-1JK1029fill.swc		Kohl2013
120529-5JK1029fill		FBbt_00110601	JFRC2_IS2_120529-5JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120529-5JK1029fill.swc		Kohl2013
120614-1JK1029fill		FBbt_00110601	JFRC2_IS2_120614-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120614-1JK1029fill.swc		Kohl2013
120713-4JK1029fill		FBbt_00110601	JFRC2_IS2_120713-4JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120713-4JK1029fill.swc		Kohl2013
120716-4JK1029fill		FBbt_00110601	JFRC2_IS2_120716-4JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120716-4JK1029fill.swc		Kohl2013
120716-6JK1029fill		FBbt_00110601	JFRC2_IS2_120716-6JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120716-6JK1029fill.swc		Kohl2013
120716-9JK1029fill		FBbt_00110601	JFRC2_IS2_120716-9JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120716-9JK1029fill.swc		Kohl2013
120717-4JK1029fill		FBbt_00110601	JFRC2_IS2_120717-4JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120717-4JK1029fill.swc		Kohl2013
120717-JK1029fill		FBbt_00110601	JFRC2_IS2_120717-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120717-JK1029fill.swc		Kohl2013
120718-2JK1029fill		FBbt_00110601	JFRC2_IS2_120718-2JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120718-2JK1029fill.swc		Kohl2013
120723-1JK1029fill		FBbt_00110601	JFRC2_IS2_120723-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120723-1JK1029fill.swc		Kohl2013
120723-3JK1029fill		FBbt_00110601	JFRC2_IS2_120723-3JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120723-3JK1029fill.swc		Kohl2013
120723-4JK1029fill		FBbt_00110601	JFRC2_IS2_120723-4JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120723-4JK1029fill.swc		Kohl2013
120309-JK1029fill		FBbt_00110463	JFRC2_IS2_120309-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120309-JK1029fill.swc		Kohl2013
120529-6JK1029fill		FBbt_00110463	JFRC2_IS2_120529-6JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120529-6JK1029fill.swc		Kohl2013
120530-JK1029fill		FBbt_00110463	JFRC2_IS2_120530-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120530-JK1029fill.swc		Kohl2013
120726-1JK1029fill		FBbt_00110463	JFRC2_IS2_120726-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120726-1JK1029fill.swc		Kohl2013
120726-2JK1029fill		FBbt_00110463	JFRC2_IS2_120726-2JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120726-2JK1029fill.swc		Kohl2013
120727-1JK1029fill		FBbt_00110463	JFRC2_IS2_120727-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120727-1JK1029fill.swc		Kohl2013
120727-JK1029fill		FBbt_00110463	JFRC2_IS2_120727-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120727-JK1029fill.swc		Kohl2013
121130-JK1029fill		FBbt_00110463	JFRC2_IS2_121130-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121130-JK1029fill.swc		Kohl2013
120421-1JK1029fill		FBbt_00110603	JFRC2_IS2_120421-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120421-1JK1029fill.swc		Kohl2013
120424-JK1029fill		FBbt_00110603	JFRC2_IS2_120424-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120424-JK1029fill.swc		Kohl2013
120425-JK1029fill		FBbt_00110603	JFRC2_IS2_120425-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120425-JK1029fill.swc		Kohl2013
120502-JK1029fill		FBbt_00110603	JFRC2_IS2_120502-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120502-JK1029fill.swc		Kohl2013
120503-JK1029fill		FBbt_00110603	JFRC2_IS2_120503-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120503-JK1029fill.swc		Kohl2013
120508-1JK1029fill		FBbt_00110603	JFRC2_IS2_120508-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120508-1JK1029fill.swc		Kohl2013
120508-JK1029fill		FBbt_00110603	JFRC2_IS2_120508-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120508-JK1029fill.swc		Kohl2013
120514-JK1029fill		FBbt_00110603	JFRC2_IS2_120514-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120514-JK1029fill.swc		Kohl2013
120614-JK1029fill		FBbt_00110603	JFRC2_IS2_120614-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120614-JK1029fill.swc		Kohl2013
120713-3JK1029fill		FBbt_00110603	JFRC2_IS2_120713-3JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120713-3JK1029fill.swc		Kohl2013
120718-JK1029fill		FBbt_00110603	JFRC2_IS2_120718-JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120718-JK1029fill.swc		Kohl2013
120616-1JK1029fill		FBbt_00110461	JFRC2_IS2_120616-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	120616-1JK1029fill.swc		Kohl2013
121127-1JK1029fill		FBbt_00110461	JFRC2_IS2_121127-1JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121127-1JK1029fill.swc		Kohl2013
121127-3JK1029fill		FBbt_00110599	JFRC2_IS2_121127-3JK1029fill_02_warp_m0g80c8e1e-1x26r4_backsub.nrrd	121127-3JK1029fill.swc		Kohl2013
