a.annotation_type	a.text	op_label	op_id	class_label	class_id
NeuronType	adult fruitless pMP-b (female) neuron			adult fruitless pMP-b (female) neuron	FBbt_00110501
NeuronType	adult fruitless pMP-b (male) neuron			adult fruitless pMP-b (male) neuron	FBbt_00110617
NeuronType	adult fruitless pMP-c (female) neuron			adult fruitless pMP-c (female) neuron	FBbt_00110503
NeuronType	adult fruitless pMP-c (male) neuron			adult fruitless pMP-c (male) neuron	FBbt_00110619
NeuronType	adult fruitless pMP-d neuron			adult fruitless pMP-d neuron	FBbt_00110505
NeuronType	adult fruitless pMP-e (female) neuron			adult fruitless pMP-e (female) neuron	FBbt_00110507
NeuronType	adult fruitless pMP-e (male) neuron			adult fruitless pMP-e (male) neuron	FBbt_00110621
NeuronType	adult fruitless pMP-f (female) neuron			adult fruitless pMP-f (female) neuron	FBbt_00110509
NeuronType	adult fruitless pMP-f (male) neuron			adult fruitless pMP-f (male) neuron	FBbt_00110623
NeuronType	adult fruitless pSG-a neuron			adult fruitless pSG-a neuron	FBbt_00110513
NeuronType	adult fruitless pSP-a neuron			adult fruitless pSP-a neuron	FBbt_00110523
NeuronType	adult fruitless pSP-b (female) neuron			adult fruitless pSP-b (female) neuron	FBbt_00110525
NeuronType	adult fruitless pSP-b (male) neuron			adult fruitless pSP-b (male) neuron	FBbt_00110625
NeuronType	adult fruitless pSP-c neuron			adult fruitless pSP-c neuron	FBbt_00110527
NeuronType	adult LHl3 lineage neuron			adult LHl3 lineage neuron	FBbt_00050257
NeuronType	adult LHp1 lineage neuron			adult LHp1 lineage neuron	FBbt_00050082
NeuronType	adult SLPpm2 lineage neuron			adult SLPpm2 lineage neuron	FBbt_00050218
NeuronType	adult SMPp&v2 lineage neuron			adult SMPp&v2 lineage neuron	FBbt_00110373
NeuronType	adult SMPpd2 lineage neuron			adult SMPpd2 lineage neuron	FBbt_00110376
NeuronType	adult SMPpv1 lineage neuron			adult SMPpv1 lineage neuron	FBbt_00050031
NeuronType	adult VLPl&p2 lineage neuron			adult VLPl&p2 lineage neuron	FBbt_00050147
NeuronType	adult VLPp&l1 lineage neuron			adult VLPp&l1 lineage neuron	FBbt_00050132
NeuronType	adult VPNd1 lineage neuron			adult VPNd1 lineage neuron	FBbt_00050108
NeuronType	adult VPNd3 lineage neuron			adult VPNd3 lineage neuron	FBbt_00110388
NeuronType	adult VPNp2 lineage neuron			adult VPNp2 lineage neuron	FBbt_00110394
NeuronType	adult VPNv2 lineage neuron			adult VPNv2 lineage neuron	FBbt_00110406
NeuronType	adult WEDa2 lineage neuron			adult WEDa2 lineage neuron	FBbt_00050017
NeuronType	alpha'/beta' Kenyon cell			alpha'/beta' Kenyon cell	FBbt_00100249
NeuronType	alpha/beta core Kenyon cell			alpha/beta core Kenyon cell	FBbt_00110929
NeuronType	alpha/beta Kenyon cell			alpha/beta Kenyon cell	FBbt_00100248
NeuronType	alpha/beta posterior Kenyon cell			alpha/beta posterior Kenyon cell	FBbt_00110931
NeuronType	alpha/beta surface Kenyon cell			alpha/beta surface Kenyon cell	FBbt_00110930
NeuronType	AMMC-AMMC PN1			antennal mechanosensory and motor center AMMC-AMMC projection neuron 1	FBbt_00110629
NeuronType	AMMC-AMMC PN2			antennal mechanosensory and motor center AMMC-AMMC projection neuron 2	FBbt_00110630
NeuronType	AMMC-IVLP PN1			antennal mechanosensory and motor center AMMC-IVLP projection neuron 1	FBbt_00110632
NeuronType	AMMC-IVLP PN2			antennal mechanosensory and motor center AMMC-IVLP projection neuron 2	FBbt_00110633
NeuronType	AMMC-VLP PN			antennal mechanosensory and motor center AMMC-VLP projection neuron	FBbt_00110634
NeuronType	AMMC-VNC PN			antennal mechanosensory and motor center AMMC-VNC projection neuron	FBbt_00110631
NeuronType	AMMC-B1 PN			antennal mechanosensory and motor center B1 projection neuron	FBbt_00110120
NeuronType	AMMC LN			antennal mechanosensory and motor center local AMMC neuron	FBbt_00110873
NeuronType	BAmas2 lineage neuron			BAmas2 lineage neuron	FBbt_00100656
NeuronType	BLD2 lineage neuron			BLD2 lineage neuron	FBbt_00100719
NeuronType	CSD interneuron			CSD interneuron	FBbt_00007405
NeuronType	dFB neuron of the dopaminergic PPL1 cluster			dFB neuron of the dopaminergic PPL1 cluster	FBbt_00110322
NeuronType	dorsal anterior lateral neuron of the protocerebrum			dorsal anterior lateral neuron of the protocerebrum	FBbt_00110034
NeuronType	DP neuron of the dopaminergic PPL1 cluster			DP neuron of the dopaminergic PPL1 cluster	FBbt_00110319
NeuronType	EB neuron of the dopaminergic PPM3 cluster			EB neuron of the dopaminergic PPM3 cluster	FBbt_00110327
NeuronType	gamma dorsal Kenyon cell			gamma dorsal Kenyon cell	FBbt_00110932
NeuronType	gamma Kenyon cell			gamma Kenyon cell	FBbt_00100247
NeuronType	IVLP-IVLP PN			inferior ventrolateral protocerebrum commissural IVLP-IVLP neuron	FBbt_00110125
NeuronType	IVLP LN			inferior ventrolateral protocerebrum local IVLP neuron	FBbt_00110874
NeuronType	lobula columnar neuron Lcn10			lobula columnar neuron Lcn10	FBbt_00100482
NeuronType	lobula columnar neuron Lcn10A			lobula columnar neuron Lcn10	FBbt_00100482
NeuronType	lobula columnar neuron Lcn10B			lobula columnar neuron Lcn10	FBbt_00100482
NeuronType	lobula columnar neuron Lcn11			lobula columnar neuron Lcn11	FBbt_00100483
NeuronType	lobula columnar neuron Lcn12			lobula columnar neuron Lcn12	FBbt_00100484
NeuronType	lobula columnar neuron Lcn14			lobula columnar neuron Lcn14	FBbt_00100486
NeuronType	lobula columnar neuron Lcn4			lobula columnar neuron Lcn4	FBbt_00003874
NeuronType	lobula columnar neuron Lcn6			lobula columnar neuron Lcn6	FBbt_00003876
NeuronType	lobula columnar neuron Lcn9			lobula columnar neuron Lcn9	FBbt_00100480
NeuronType	lobula tangential neuron Lt12			lobula tangential neuron Lt12	FBbt_00100488
NeuronType	MB-alpha neuron of the dopaminergic PPL1 cluster			MB-alpha neuron of the dopaminergic PPL1 cluster	FBbt_00110320
NeuronType	MB-alpha prime neuron of the dopaminergic PPL1 cluster			MB-alpha' neuron of the dopaminergic PPL1 cluster	FBbt_00110321
NeuronType	MB-AMP neuron of the dopaminergic PPL1 cluster			MB-AMP neuron of the dopaminergic PPL1 cluster	FBbt_00110324
NeuronType	MB-SV neuron of the dopaminergic PPL1 cluster			MB-SV neuron of the dopaminergic PPL1 cluster	FBbt_00110323
NeuronType	mFB neuron of the dopaminergic PPM3 cluster			mFB neuron of the dopaminergic PPM3 cluster	FBbt_00110325
NeuronType	mushroom body medial-vertical lobe arborizing neuron 1			mushroom body medial-vertical lobe arborizing neuron 1	FBbt_00100241
NeuronType	mushroom body pedunculus-medial lobe arborizing neuron 1			mushroom body pedunculus-medial lobe arborizing neuron 1	FBbt_00100243
NeuronType	mushroom body ventral lobe arborizing neuron 1			mushroom body ventral lobe arborizing neuron 1	FBbt_00100236
NeuronType	mushroom body ventral lobe arborizing neuron 3			mushroom body ventral lobe arborizing neuron 3	FBbt_00100238
NeuronType	adPN	develops from	RO_0002202	neuroblast ALad1	FBbt_00067346
NeuronType	contra adPN	develops from	RO_0002202	neuroblast ALad1	FBbt_00067346
NeuronType	lPN	develops from	RO_0002202	neuroblast ALl1	FBbt_00067347
NeuronType	vPN	develops from	RO_0002202	neuroblast ALv1	FBbt_00067348
NeuronType	vFB neuron of the dopaminergic PPM3 cluster			vFB neuron of the dopaminergic PPM3 cluster	FBbt_00110326
NeuronType	AL Descending Neuron				
NeuronType	antennal mechanosensory and motor center A1 projection neuron			antennal mechanosensory and motor center A1 projection neuron	FBbt_00110183
NeuronType	antennal mechanosensory and motor center AMMC-AL1 projection neuron			antennal mechanosensory and motor center AMMC-AL1 projection neuron	FBbt_00111359
NeuronType	antennal mechanosensory and motor center AMMC-VLP1 projection neuron			antennal mechanosensory and motor center AMMC-VLP1 projection neuron	FBbt_00111355
NeuronType	antennal mechanosensory and motor center AMMC-VLP2 projection neuron			antennal mechanosensory and motor center AMMC-VLP2 projection neuron	FBbt_00111356
NeuronType	antennal mechanosensory and motor center AMMC-VLP3 projection neuron			antennal mechanosensory and motor center AMMC-VLP3 projection neuron	FBbt_00111357
NeuronType	antennal mechanosensory and motor center AMMC-VLP5 projection neuron			antennal mechanosensory and motor center AMMC-VLP5 projection neuron	FBbt_00111358
NeuronType	antennal mechanosensory and motor center B2 projection neuron			antennal mechanosensory and motor center B2 projection neuron	FBbt_00110665
NeuronType	bilateral PN				
NeuronType	contra PN				
NeuronType	ContraProjAcrossALs				
NeuronType	descending neuron				
NeuronType	inferior ventrolateral protocerebrum local IVLP-IVLP neuron			inferior ventrolateral protocerebrum local IVLP-IVLP neuron	FBbt_00110125
NeuronType	lPN?				
NeuronType	mushroom body vertical lobe arborizing neuron 1			mushroom body vertical lobe arborizing neuron 1	FBbt_00100236
NeuronType	ventrolateral protocerebrum local VLP1 neuron			ventrolateral protocerebrum local VLP1 neuron	FBbt_00111361
NeuronType	vlPN				
