a.annotation_type	a.text	op_label	op_id	class_label	class_id
ALGlomerulus	VA1d+VM5	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VM5	FBbt_00003949
ALGlomerulus	VM5d	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VM5d	FBbt_00007391
ALGlomerulus	VM5v	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VM5v	FBbt_00007365
ALGlomerulus	VM5v+VC3l	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VM5v	FBbt_00007365
ALGlomerulus	VM6	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VM6	FBbt_00003958
ALGlomerulus	VM6+	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VM6	FBbt_00003958
ALGlomerulus	VM6+VP1	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VM6	FBbt_00003958
ALGlomerulus	VM6+VP2	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VM6	FBbt_00003958
ALGlomerulus	VM7	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VM7	FBbt_00003973
ALGlomerulus	VM6+VP1	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VP1	FBbt_00003927
ALGlomerulus	VP1	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VP1	FBbt_00003927
ALGlomerulus	VM6+VP2	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VP2	FBbt_00003928
ALGlomerulus	VP2+	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VP2	FBbt_00003928
ALGlomerulus	VP3	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VP3	FBbt_00003929
ALGlomerulus	VP3+VP4	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VP3	FBbt_00003929
ALGlomerulus	VP3+VP4	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VP4	FBbt_00110865
ALGlomerulus	VP4	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus VP4	FBbt_00110865
ALGlomerulus	D doublet				
ALGlomerulus	DA+				
ALGlomerulus	VAsomething				
ALGlomerulus	VC4?				
ALGlomerulus	VM4+?				
ALGlomerulus	VP?				
ALGlomerulus	VP1?				
ALGlomerulus	VP3?				
ImageType	Almost Whole Brain				
ImageType	Half Brain				
ImageType	Whole Brain				
laterality	cb_mismatch				
laterality	farcontra				
laterality	nearcontra				
laterality	proj_bilat_asymm				
laterality	proj_bilat_symm				
laterality	proj_left				
laterality	proj_midline				
laterality	proj_right				
laterality	recheck				
laterality	soma_left				
laterality	soma_midline				
laterality	soma_right				
MainTract	lALT	fasciculates_with	RO_0002101	lateral antennal lobe tract	FBbt_00003983
MainTract	oACT	fasciculates_with	RO_0002101	lateral antennal lobe tract	FBbt_00003983
MainTract	iACT	fasciculates_with	RO_0002101	medial antennal lobe tract	FBbt_00003985
MainTract	mALT	fasciculates_with	RO_0002101	medial antennal lobe tract	FBbt_00003985
MainTract	mACT	fasciculates_with	RO_0002101	mediolateral antennal lobe tract	FBbt_00003984
MainTract	mlALT	fasciculates_with	RO_0002101	mediolateral antennal lobe tract	FBbt_00003984
MainTract	omACT	fasciculates_with	RO_0002101	transverse antennal lobe tract	FBbt_00007482
MainTract	other				
MainTract	posterior to mACT				
MainTract	t1ALT				
MainTract	t2ALT				
MainTract	t3ALT				
NeuronSubType	oligoPN			multiglomerular antennal lobe projection neuron	FBbt_00007384
NeuronSubType	polyglomerularPN			multiglomerular antennal lobe projection neuron	FBbt_00007384
NeuronSubType	uPN			uniglomerular antennal lobe projection neuron	FBbt_00007383
NeuronSubType	ventroposterior AL				
NeuronType	adult ALv1 lineage neuron			adult ALv1 lineage neuron	FBbt_00050197
NeuronType	adult ALv2 lineage neuron			adult ALv2 lineage neuron	FBbt_00050037
NeuronType	adult AOTUv2 lineage neuron			adult AOTUv2 lineage neuron	FBbt_00050183
NeuronType	adult AOTUv4 lineage neuron			adult AOTUv4 lineage neuron	FBbt_00050064
NeuronType	adult DM1 lineage neuron			adult DM1 lineage neuron	FBbt_00050020
NeuronType	adult DM3 lineage neuron			adult DM3 lineage neuron	FBbt_00050102
NeuronType	adult DM4 lineage neuron			adult DM4 lineage neuron	FBbt_00050254
NeuronType	adult DM6 lineage neuron			adult DM6 lineage neuron	FBbt_00050144
NeuronType	adult fruitless aDT-a neuron			adult fruitless aDT-a neuron	FBbt_00110415
NeuronType	adult fruitless aDT-b (female) neuron			adult fruitless aDT-b (female) neuron	FBbt_00110417
NeuronType	adult fruitless aDT-b (male) neuron			adult fruitless aDT-b (male) neuron	FBbt_00110579
NeuronType	adult fruitless aDT-e (female) neuron			adult fruitless aDT-e (female) neuron	FBbt_00110423
NeuronType	adult fruitless aDT-e (male) neuron			adult fruitless aDT-e (male) neuron	FBbt_00110583
NeuronType	adult fruitless aDT-f neuron			adult fruitless aDT-f neuron	FBbt_00110425
NeuronType	adult fruitless aDT-g neuron			adult fruitless aDT-g neuron	FBbt_00110427
NeuronType	adult fruitless aDT-h neuron			adult fruitless aDT-h neuron	FBbt_00110429
NeuronType	adult fruitless aIP-a neuron			adult fruitless aIP-a neuron	FBbt_00110431
NeuronType	adult fruitless aIP-b (female) neuron			adult fruitless aIP-b (female) neuron	FBbt_00110433
NeuronType	adult fruitless aIP-b (male) neuron			adult fruitless aIP-b (male) neuron	FBbt_00110585
NeuronType	adult fruitless aIP-c (female) neuron			adult fruitless aIP-c (female) neuron	FBbt_00110435
NeuronType	adult fruitless aIP-c (male) neuron			adult fruitless aIP-c (male) neuron	FBbt_00110587
NeuronType	adult fruitless aIP-e (female) neuron			adult fruitless aIP-e (female) neuron	FBbt_00110439
NeuronType	adult fruitless aIP-e (male) neuron			adult fruitless aIP-e (male) neuron	FBbt_00110591
NeuronType	adult fruitless aIP-g (female) neuron			adult fruitless aIP-g (female) neuron	FBbt_00110443
NeuronType	adult fruitless aIP-g (male) neuron			adult fruitless aIP-g (male) neuron	FBbt_00110593
NeuronType	adult fruitless aIP-h neuron			adult fruitless aIP-h neuron	FBbt_00110445
NeuronType	adult fruitless aSG-a neuron			adult fruitless aSG-a neuron	FBbt_00110447
NeuronType	adult fruitless aSP-a (female) neuron			adult fruitless aSP-a (female) neuron	FBbt_00110449
NeuronType	adult fruitless aSP-a (male) neuron			adult fruitless aSP-a (male) neuron	FBbt_00110595
NeuronType	adult fruitless aSP-b (female) neuron			adult fruitless aSP-b (female) neuron	FBbt_00110451
NeuronType	adult fruitless aSP-b (male) neuron			adult fruitless aSP-b (male) neuron	FBbt_00110597
NeuronType	adult fruitless aSP-d neuron			adult fruitless aSP-d neuron	FBbt_00110455
NeuronType	adult fruitless aSP-g (female) neuron			adult fruitless aSP-g (female) neuron	FBbt_00110461
NeuronType	adult fruitless aSP-j neuron			adult fruitless aSP-j neuron	FBbt_00110467
NeuronType	adult fruitless aSP-k (female) neuron			adult fruitless aSP-k (female) neuron	FBbt_00110469
NeuronType	adult fruitless aSP-k (male) neuron			adult fruitless aSP-k (male) neuron	FBbt_00110607
NeuronType	adult fruitless aSP-l neuron			adult fruitless aSP-l neuron	FBbt_00110471
NeuronType	adult fruitless aSP-m neuron			adult fruitless aSP-m neuron	FBbt_00110473
NeuronType	adult fruitless Lo neuron			adult fruitless Lo neuron	FBbt_00110475
NeuronType	adult fruitless M neuron			adult fruitless M neuron	FBbt_00110477
NeuronType	adult fruitless Mb lineage neuron			adult fruitless Mb neuron	FBbt_00110575
NeuronType	adult fruitless pIP-a (male) neuron			adult fruitless pIP-a (male) neuron	FBbt_00110609
NeuronType	adult fruitless pIP-b neuron			adult fruitless pIP-b neuron	FBbt_00110481
NeuronType	adult fruitless pIP-c neuron			adult fruitless pIP-c neuron	FBbt_00110483
NeuronType	adult fruitless pIP-d neuron			adult fruitless pIP-d neuron	FBbt_00110485
NeuronType	adult fruitless pIP-e (female) neuron			adult fruitless pIP-e (female) neuron	FBbt_00110487
NeuronType	adult fruitless pIP-e (male) neuron			adult fruitless pIP-e (male) neuron	FBbt_00110611
NeuronType	adult fruitless pIP-g neuron			adult fruitless pIP-g neuron	FBbt_00110491
NeuronType	adult fruitless pMP-a (female) neuron			adult fruitless pMP-a (female) neuron	FBbt_00110499
NeuronType	adult fruitless pMP-a (male) neuron			adult fruitless pMP-a (male) neuron	FBbt_00110615
